Time,O,H,L,C,V
2023.07.14 18:00, 1.12347,1.12395,1.12331,1.12379,744
2023.07.14 17:00, 1.12408,1.12433,1.1234,1.12346,2161
2023.07.14 16:00, 1.12264,1.12433,1.12144,1.12407,5542
2023.07.14 15:00, 1.12247,1.1243,1.12165,1.12389,3042
2023.07.14 14:00, 1.12234,1.1226,1.12093,1.12248,2907
2023.07.14 13:00, 1.12195,1.12332,1.12186,1.12233,2059
2023.07.14 12:00, 1.12255,1.12256,1.12144,1.12192,2063
2023.07.14 11:00, 1.12303,1.12439,1.12251,1.12257,1857
2023.07.14 10:00, 1.12205,1.12347,1.12202,1.12302,1860
2023.07.14 09:00, 1.12093,1.12207,1.12032,1.12203,2315
