,Unnamed: 0,SOURCE,ARTICULO,WORDS,TRANSLATE,SENTENCES_A,SENTENCES_B,SENTENCES_C,SENTENCES_D,SENTENCES_E,SENTENCES_F,READ,HEAR,WRITE,TALK,STATUS
0,0,BLONDYNA_NEW_ES,,Hola,Hello there,,,,,,,,,,,
1,1,BLONDYNA_NEW_ES,,Yo soy,I am,,,,,,,,,,,
2,2,BLONDYNA_NEW_ES,Un,marinero,sailor,,,,,,,,,,,
3,3,BLONDYNA_NEW_ES,Un,viajero,traveler,,,,,,,,,,,
4,4,BLONDYNA_NEW_ES,Un,capitan,capitan,,,,,,,,,,,
5,5,BLONDYNA_NEW_ES,Un,organizador,organizer,,,,,,,,,,,
6,6,BLONDYNA_NEW_ES,Un,director,director,,,,,,,,,,,
7,7,BLONDYNA_NEW_ES,,Yo organizo,I organize,,,,,,,,,,,
8,8,BLONDYNA_NEW_ES,,Yo viajo,I travel,,,,,,,,,,,
9,9,BLONDYNA_NEW_ES,,Yo administro,I administer,,,,,,,,,,,
10,10,BLONDYNA_NEW_ES,Un,barco,Boat,,,,,,,,,,,
11,11,BLONDYNA_NEW_ES,,Yo tengo,I have,,,,,,,,,,,
12,12,BLONDYNA_NEW_ES,,buen,good,,,,,,,,,,,
13,13,BLONDYNA_NEW_ES,,buena,good,,,,,,,,,,,
14,14,BLONDYNA_NEW_ES,Una,empresa,company,,,,,,,,,,,
15,15,BLONDYNA_NEW_ES,Un,hombre,Man,,,,,,,,,,,
16,16,BLONDYNA_NEW_ES,Una,vida,Life,,,,,,,,,,,
17,17,BLONDYNA_NEW_ES,,mi,e,,,,,,,,,,,
18,18,BLONDYNA_NEW_ES,,eso,that's,,,,,,,,,,,
19,19,BLONDYNA_NEW_ES,,es,en,,,,,,,,,,,
20,20,BLONDYNA_NEW_ES,,El,The,,,,,,,,,,,
21,21,BLONDYNA_NEW_ES,,El es,He is,,,,,,,,,,,
22,22,BLONDYNA_NEW_ES,,quien,who are,,,,,,,,,,,
23,23,BLONDYNA_NEW_ES,,de verdad,for real,,,,,,,,,,,
24,24,BLONDYNA_NEW_ES,,si,yes,,,,,,,,,,,
25,25,BLONDYNA_NEW_ES,,El administra,He manages,,,,,,,,,,,
26,26,BLONDYNA_NEW_ES,,su,his,,,,,,,,,,,
27,27,BLONDYNA_NEW_ES,,El vieja,The old man,,,,,,,,,,,
28,28,BLONDYNA_NEW_ES,,eventos,events,,,,,,,,,,,
29,29,BLONDYNA_NEW_ES,,Yo tengo,I have,,,,,,,,,,,
30,30,BLONDYNA_NEW_ES,Una,casa,Household,,,,,,,,,,,
31,31,BLONDYNA_NEW_ES,Un,trabajo,work,,,,,,,,,,,
32,32,BLONDYNA_NEW_ES,Una,esposa,wife,,,,,,,,,,,
33,33,BLONDYNA_NEW_ES,Un,marido,husband,,,,,,,,,,,
34,34,BLONDYNA_NEW_ES,,hijos,Children,,,,,,,,,,,
35,35,BLONDYNA_NEW_ES,,tienes,you have,,,,,,,,,,,
36,36,BLONDYNA_NEW_ES,,cuantos,how many,,,,,,,,,,,
37,37,BLONDYNA_NEW_ES,,dos,two,,,,,,,,,,,
38,38,BLONDYNA_NEW_ES,Un,nino,nino,,,,,,,,,,,
39,39,BLONDYNA_NEW_ES,Una,nina,nina,,,,,,,,,,,
40,40,BLONDYNA_NEW_ES,,dos ninios,two children,,,,,,,,,,,
41,41,BLONDYNA_NEW_ES,,dos ninias,Two girls,,,,,,,,,,,
42,42,BLONDYNA_NEW_ES,,tu,you are,,,,,,,,,,,
43,43,BLONDYNA_NEW_ES,Un,artista,artist,,,,,,,,,,,
44,44,BLONDYNA_NEW_ES,,Que hace el,What does the,,,,,,,,,,,
45,45,BLONDYNA_NEW_ES,,El canta,He sings,,,,,,,,,,,
46,46,BLONDYNA_NEW_ES,Una,maestra,teacher,,,,,,,,,,,
47,47,BLONDYNA_NEW_ES,,ella,she,,,,,,,,,,,
48,48,BLONDYNA_NEW_ES,,Que hace ella,What she does,,,,,,,,,,,
49,49,BLONDYNA_NEW_ES,,Ella da clases,She gives classes,,,,,,,,,,,
50,50,BLONDYNA_NEW_ES,Una,escuela,school,,,,,,,,,,,
51,51,BLONDYNA_NEW_ES,,Tu tienes,You have,,,,,,,,,,,
52,52,BLONDYNA_NEW_ES,,donde,where to,,,,,,,,,,,
53,53,BLONDYNA_NEW_ES,,Tu trabajas,You work,,,,,,,,,,,
54,54,BLONDYNA_NEW_ES,Una,oficina,office,,,,,,,,,,,
55,55,SAMO_1,,esto,this,,,,,,,,,,,
56,56,SAMO_1,Una,mesa,table,,,,,,,,,,,
57,57,SAMO_1,Una,lampara,lamp,,,,,,,,,,,
58,58,SAMO_1,,y,and,,,,,,,,,,,
59,59,SAMO_1,,aquello,that,,,,,,,,,,,
60,60,SAMO_1,Una,silla,chair,,,,,,,,,,,
61,61,SAMO_1,Una,pluma,pen,,,,,,,,,,,
62,62,SAMO_1,Un,armario,cabinet,,,,,,,,,,,
63,63,SAMO_1,Una,leccion,Lesson,,,,,,,,,,,
64,64,SAMO_1,Un,piano,piano,,,,,,,,,,,
65,65,SAMO_1,,primero,first,,,,,,,,,,,
66,66,SAMO_1,Un,telefono,telephone,,,,,,,,,,,
67,67,SAMO_1,Una,ventana,Window,,,,,,,,,,,
68,68,SAMO_1,Una,butaca,armchair,,,,,,,,,,,
69,69,SAMO_1,,segunda,second,,,,,,,,,,,
70,70,SAMO_1,Un,sombrero,hat,,,,,,,,,,,
71,71,SAMO_1,,como,as,,,,,,,,,,,
72,72,SAMO_1,,negro,black,,,,,,,,,,,
73,73,SAMO_1,,amarilla,yellow,,,,,,,,,,,
74,74,SAMO_1,,tambien,also,,,,,,,,,,,
75,75,SAMO_1,Un,abrigo,coat,,,,,,,,,,,
76,76,SAMO_1,Una,tinta,ink,,,,,,,,,,,
77,77,SAMO_1,Un,tintero,inkwell,,,,,,,,,,,
78,78,SAMO_1,,blanco,White,,,,,,,,,,,
79,79,SAMO_1,,verde,green,,,,,,,,,,,
80,80,SAMO_1,,gris,grey,,,,,,,,,,,
81,81,SAMO_1,Un,cigarrillo,cigarette,,,,,,,,,,,
82,82,SAMO_1,Una,cartera,portfolio,,,,,,,,,,,
83,83,SAMO_1,Una,cerilla,match,,,,,,,,,,,
84,84,SAMO_1,Un,clavel,carnation,,,,,,,,,,,
85,85,SAMO_1,Una,copa,cups,,,,,,,,,,,
86,86,SAMO_1,Un,cubo,cube,,,,,,,,,,,
87,87,SAMO_1,,no,no,,,,,,,,,,,
88,88,SAMO_1,,tercero,third party,,,,,,,,,,,
89,89,SAMO_1,Un,gato,cat,,,,,,,,,,,
90,90,SAMO_1,Un,perro,Dog,,,,,,,,,,,
91,91,SAMO_1,,bajo,low,,,,,,,,,,,
92,92,SAMO_1,Un,florero,Vase Vase,,,,,,,,,,,
93,93,SAMO_1,,en,in,,,,,,,,,,,
94,94,SAMO_1,,cuarto,fourth,,,,,,,,,,,
95,95,SAMO_1,,sobre,about,,,,,,,,,,,
96,0,,,de,from,,,,,,,,,,,
97,1,,,la,the,,,,,,,,,,,
98,2,,,que,which is,,,,,,,,,,,
99,3,,,el,the,,,,,,,,,,,
100,4,,,en,in,,,,,,,,,,,
101,5,,,y,and,,,,,,,,,,,
102,6,,,a,a,,,,,,,,,,,
