time,O,H,L,C,volume,Diff_CO,Growing
2002-05-07T09:00:00.000000000Z,0.91535,0.91535,0.91535,0.91535,1.0,0.0,1
2002-05-08T09:00:00.000000000Z,0.90435,0.90435,0.90435,0.90435,1.0,0.0,1
2002-05-09T09:00:00.000000000Z,0.90935,0.90935,0.90935,0.90935,1.0,0.0,1
2002-05-10T09:00:00.000000000Z,0.914,0.914,0.914,0.914,1.0,0.0,1
2002-05-10T21:00:00.000000000Z,0.9141,0.9141,0.9141,0.9141,1.0,0.0,1
2002-05-13T09:00:00.000000000Z,0.91155,0.91155,0.91155,0.91155,1.0,0.0,1
2002-05-14T09:00:00.000000000Z,0.90275,0.90275,0.90275,0.90275,1.0,0.0,1
2002-05-15T09:00:00.000000000Z,0.91255,0.91255,0.91255,0.91255,1.0,0.0,1
2002-05-16T09:00:00.000000000Z,0.91195,0.91195,0.91195,0.91195,1.0,0.0,1
2002-05-17T09:00:00.000000000Z,0.9209,0.9209,0.9209,0.9209,1.0,0.0,1
2002-05-19T09:00:00.000000000Z,0.9201,0.9201,0.9201,0.9201,1.0,0.0,1
2002-05-20T09:00:00.000000000Z,0.92095,0.92095,0.92095,0.92095,1.0,0.0,1
2002-05-21T09:00:00.000000000Z,0.91985,0.91985,0.91985,0.91985,1.0,0.0,1
2002-05-22T09:00:00.000000000Z,0.92575,0.92575,0.92575,0.92575,1.0,0.0,1
2002-05-23T09:00:00.000000000Z,0.92145,0.92145,0.92145,0.92145,1.0,0.0,1
2002-05-24T09:00:00.000000000Z,0.921,0.921,0.921,0.921,1.0,0.0,1
2002-05-24T21:00:00.000000000Z,0.9211,0.9211,0.9211,0.9211,1.0,0.0,1
2002-05-27T09:00:00.000000000Z,0.9209,0.9209,0.9209,0.9209,1.0,0.0,1
2002-05-28T09:00:00.000000000Z,0.92875,0.92875,0.92875,0.92875,1.0,0.0,1
2002-05-29T09:00:00.000000000Z,0.93545,0.93545,0.93545,0.93545,1.0,0.0,1
2002-05-30T09:00:00.000000000Z,0.93705,0.93705,0.93705,0.93705,1.0,0.0,1
2002-05-31T09:00:00.000000000Z,0.9339,0.9339,0.9339,0.9339,1.0,0.0,1
2002-06-02T09:00:00.000000000Z,0.9329,0.9329,0.9329,0.9329,1.0,0.0,1
2002-06-03T09:00:00.000000000Z,0.94105,0.94105,0.94105,0.94105,1.0,0.0,1
2002-06-04T09:00:00.000000000Z,0.93935,0.93935,0.93935,0.93935,1.0,0.0,1
2002-06-05T09:00:00.000000000Z,0.93935,0.93935,0.93935,0.93935,1.0,0.0,1
