time,O,H,L,C,volume,Diff_CO,Growing
2002-05-08T17:00:00.000000000Z,1.57005,1.57005,1.57005,1.57005,1.0,0.0,1
2002-05-09T17:00:00.000000000Z,1.56525,1.56525,1.56525,1.56525,1.0,0.0,1
2002-05-10T17:00:00.000000000Z,1.5585,1.5585,1.5585,1.5585,1.0,0.0,1
2002-05-10T21:00:00.000000000Z,1.5585,1.5585,1.5585,1.5585,1.0,0.0,1
2002-05-13T17:00:00.000000000Z,1.55395,1.55395,1.55395,1.55395,1.0,0.0,1
2002-05-14T17:00:00.000000000Z,1.5582,1.5582,1.5582,1.5582,1.0,0.0,1
2002-05-15T17:00:00.000000000Z,1.5573,1.5573,1.5573,1.5573,1.0,0.0,1
2002-05-16T17:00:00.000000000Z,1.5547,1.5547,1.5547,1.5547,1.0,0.0,1
2002-05-19T17:00:00.000000000Z,1.5465,1.5465,1.5465,1.5465,1.0,0.0,1
2002-05-20T17:00:00.000000000Z,1.5427,1.5427,1.5427,1.5427,1.0,0.0,1
2002-05-21T17:00:00.000000000Z,1.53725,1.53725,1.53725,1.53725,1.0,0.0,1
2002-05-22T17:00:00.000000000Z,1.53185,1.53185,1.53185,1.53185,1.0,0.0,1
2002-05-23T17:00:00.000000000Z,1.536,1.536,1.536,1.536,1.0,0.0,1
2002-05-24T17:00:00.000000000Z,1.533,1.533,1.533,1.533,1.0,0.0,1
2002-05-24T21:00:00.000000000Z,1.5329,1.5329,1.5329,1.5329,1.0,0.0,1
2002-05-27T17:00:00.000000000Z,1.5334,1.5334,1.5334,1.5334,1.0,0.0,1
2002-05-28T17:00:00.000000000Z,1.5307,1.5307,1.5307,1.5307,1.0,0.0,1
2002-05-29T17:00:00.000000000Z,1.5349,1.5349,1.5349,1.5349,1.0,0.0,1
2002-05-30T17:00:00.000000000Z,1.5347,1.5347,1.5347,1.5347,1.0,0.0,1
2002-05-31T17:00:00.000000000Z,1.5282,1.5282,1.5282,1.5282,1.0,0.0,1
2002-06-02T17:00:00.000000000Z,1.5368,1.5368,1.5368,1.5368,1.0,0.0,1
2002-06-03T17:00:00.000000000Z,1.52715,1.52715,1.52715,1.52715,1.0,0.0,1
2002-06-04T17:00:00.000000000Z,1.53165,1.53165,1.53165,1.53165,1.0,0.0,1
2002-06-05T17:00:00.000000000Z,1.53175,1.53175,1.53175,1.53175,1.0,0.0,1
2002-06-06T17:00:00.000000000Z,1.53325,1.53325,1.53325,1.53325,1.0,0.0,1
2002-06-09T17:00:00.000000000Z,1.5329,1.5329,1.5329,1.5329,1.0,0.0,1
2002-06-10T17:00:00.000000000Z,1.53945,1.53945,1.53945,1.53945,1.0,0.0,1
2002-06-11T17:00:00.000000000Z,1.53595,1.53595,1.53595,1.53595,1.0,0.0,1
2002-06-12T17:00:00.000000000Z,1.53535,1.53535,1.53535,1.53535,1.0,0.0,1
2002-06-13T17:00:00.000000000Z,1.53985,1.53985,1.53985,1.53985,1.0,0.0,1
2002-06-14T17:00:00.000000000Z,1.5467,1.5467,1.5467,1.5467,1.0,0.0,1
2002-06-16T13:00:00.000000000Z,1.5464,1.5464,1.5464,1.5464,1.0,0.0,1
2002-06-17T17:00:00.000000000Z,1.54635,1.54635,1.54635,1.54635,1.0,0.0,1
2002-06-18T17:00:00.000000000Z,1.5456,1.5456,1.5456,1.5456,1.0,0.0,1
2002-06-19T17:00:00.000000000Z,1.5407,1.5407,1.5407,1.5407,1.0,0.0,1
2002-06-20T17:00:00.000000000Z,1.5279,1.5279,1.5279,1.5279,1.0,0.0,1
2002-06-21T17:00:00.000000000Z,1.5204,1.5204,1.5204,1.5204,1.0,0.0,1
2002-06-21T21:00:00.000000000Z,1.5209,1.5209,1.5209,1.5209,1.0,0.0,1
2002-06-24T17:00:00.000000000Z,1.52065,1.52065,1.52065,1.52065,1.0,0.0,1
2002-06-25T17:00:00.000000000Z,1.51505,1.51505,1.51505,1.51505,1.0,0.0,1
2002-06-26T17:00:00.000000000Z,1.51885,1.51885,1.51885,1.51885,1.0,0.0,1
2002-06-27T17:00:00.000000000Z,1.51065,1.51065,1.51065,1.51065,1.0,0.0,1
2002-06-28T17:00:00.000000000Z,1.5188,1.5188,1.5188,1.5188,1.0,0.0,1
2002-06-28T21:00:00.000000000Z,1.5188,1.5188,1.5188,1.5188,1.0,0.0,1
2002-07-01T17:00:00.000000000Z,1.51635,1.51635,1.51635,1.51635,1.0,0.0,1
2002-07-02T17:00:00.000000000Z,1.52665,1.52665,1.52665,1.52665,1.0,0.0,1
2002-07-03T17:00:00.000000000Z,1.5314,1.5314,1.5314,1.5314,1.0,0.0,1
2002-07-04T17:00:00.000000000Z,1.52785,1.52785,1.52785,1.52785,1.0,0.0,1
2002-07-05T17:00:00.000000000Z,1.5224,1.5224,1.5224,1.5224,1.0,0.0,1
2002-07-05T21:00:00.000000000Z,1.5225,1.5225,1.5225,1.5225,1.0,0.0,1
2002-07-08T17:00:00.000000000Z,1.52355,1.52355,1.52355,1.52355,1.0,0.0,1
2002-07-09T17:00:00.000000000Z,1.51195,1.51195,1.51195,1.51195,1.0,0.0,1
2002-07-10T17:00:00.000000000Z,1.52025,1.52025,1.52025,1.52025,1.0,0.0,1
2002-07-11T17:00:00.000000000Z,1.52545,1.52545,1.52545,1.52545,1.0,0.0,1
2002-07-12T17:00:00.000000000Z,1.5335,1.5335,1.5335,1.5335,1.0,0.0,1
2002-07-12T21:00:00.000000000Z,1.5331,1.5331,1.5331,1.5331,1.0,0.0,1
