time,O,H,L,C,volume,Diff_CO,Growing
2002-05-07T09:00:00.000000000Z,1.58845,1.58845,1.58845,1.58845,1.0,0.0,1
2002-05-08T09:00:00.000000000Z,1.60955,1.60955,1.60955,1.60955,1.0,0.0,1
2002-05-09T09:00:00.000000000Z,1.59785,1.59785,1.59785,1.59785,1.0,0.0,1
2002-05-10T09:00:00.000000000Z,1.5912,1.5912,1.5912,1.5912,1.0,0.0,1
2002-05-10T21:00:00.000000000Z,1.5912,1.5912,1.5912,1.5912,1.0,0.0,1
2002-05-13T09:00:00.000000000Z,1.596,1.596,1.596,1.596,1.0,0.0,1
2002-05-14T09:00:00.000000000Z,1.6145,1.6145,1.6145,1.6145,1.0,0.0,1
2002-05-15T09:00:00.000000000Z,1.595,1.595,1.595,1.595,1.0,0.0,1
2002-05-16T09:00:00.000000000Z,1.5974,1.5974,1.5974,1.5974,1.0,0.0,1
2002-05-17T09:00:00.000000000Z,1.5803,1.5803,1.5803,1.5803,1.0,0.0,1
2002-05-17T21:00:00.000000000Z,1.5811,1.5811,1.5811,1.5811,1.0,0.0,1
2002-05-18T21:00:00.000000000Z,1.5811,1.5811,1.5811,1.5811,1.0,0.0,1
2002-05-20T09:00:00.000000000Z,1.5774,1.5774,1.5774,1.5774,1.0,0.0,1
2002-05-21T09:00:00.000000000Z,1.5773,1.5773,1.5773,1.5773,1.0,0.0,1
2002-05-22T09:00:00.000000000Z,1.5693,1.5693,1.5693,1.5693,1.0,0.0,1
2002-05-23T09:00:00.000000000Z,1.5782,1.5782,1.5782,1.5782,1.0,0.0,1
2002-05-26T09:00:00.000000000Z,1.5826,1.5826,1.5826,1.5826,1.0,0.0,1
2002-05-27T09:00:00.000000000Z,1.58245,1.58245,1.58245,1.58245,1.0,0.0,1
2002-05-28T09:00:00.000000000Z,1.5739,1.5739,1.5739,1.5739,1.0,0.0,1
2002-05-29T09:00:00.000000000Z,1.5685,1.5685,1.5685,1.5685,1.0,0.0,1
2002-05-30T09:00:00.000000000Z,1.56225,1.56225,1.56225,1.56225,1.0,0.0,1
2002-05-31T09:00:00.000000000Z,1.568,1.568,1.568,1.568,1.0,0.0,1
2002-06-02T09:00:00.000000000Z,1.5697,1.5697,1.5697,1.5697,1.0,0.0,1
2002-06-03T09:00:00.000000000Z,1.56035,1.56035,1.56035,1.56035,1.0,0.0,1
2002-06-04T09:00:00.000000000Z,1.5652,1.5652,1.5652,1.5652,1.0,0.0,1
2002-06-05T09:00:00.000000000Z,1.5651,1.5651,1.5651,1.5651,1.0,0.0,1
2002-06-06T09:00:00.000000000Z,1.5558,1.5558,1.5558,1.5558,1.0,0.0,1
2002-06-07T09:00:00.000000000Z,1.5578,1.5578,1.5578,1.5578,1.0,0.0,1
2002-06-09T09:00:00.000000000Z,1.5584,1.5584,1.5584,1.5584,1.0,0.0,1
2002-06-10T09:00:00.000000000Z,1.55885,1.55885,1.55885,1.55885,1.0,0.0,1
2002-06-11T09:00:00.000000000Z,1.55535,1.55535,1.55535,1.55535,1.0,0.0,1
2002-06-12T09:00:00.000000000Z,1.56605,1.56605,1.56605,1.56605,1.0,0.0,1
