Broker,Symbol,Period,OpenTime
Dom Maklerski mBanku,EURUSD,60,155.0
Dom Maklerski mBanku,EURUSD,60,153.0
Dom Maklerski mBanku,EURUSD,60,137.0
Dom Maklerski mBanku,EURUSD,60,155.0
Dom Maklerski mBanku,EURUSD,60,169.0
Dom Maklerski mBanku,EURUSD,60,184.0
Dom Maklerski mBanku,EURUSD,60,183.0
Dom Maklerski mBanku,EURUSD,60,153.0
Dom Maklerski mBanku,EURUSD,60,184.0
Dom Maklerski mBanku,EURUSD,60,118.0
Dom Maklerski mBanku,EURUSD,60,139.0
Dom Maklerski mBanku,EURUSD,60,196.0
Dom Maklerski mBanku,EURUSD,60,166.0
Dom Maklerski mBanku,EURUSD,60,108.0
Dom Maklerski mBanku,EURUSD,60,154.0
Dom Maklerski mBanku,EURUSD,60,118.0
Dom Maklerski mBanku,EURUSD,60,168.0
Dom Maklerski mBanku,EURUSD,60,153.0
Dom Maklerski mBanku,EURUSD,60,150.0
Dom Maklerski mBanku,EURUSD,60,146.0
Dom Maklerski mBanku,EURUSD,60,170.0
Dom Maklerski mBanku,EURUSD,60,162.0
Dom Maklerski mBanku,EURUSD,60,127.0
Dom Maklerski mBanku,EURUSD,60,154.0
Dom Maklerski mBanku,EURUSD,60,151.0
Dom Maklerski mBanku,EURUSD,60,214.0
Dom Maklerski mBanku,EURUSD,60,164.0
Dom Maklerski mBanku,EURUSD,60,107.0
Dom Maklerski mBanku,EURUSD,60,172.0
International Capital Markets Pty Ltd.,EURUSD,60,688.0
International Capital Markets Pty Ltd.,EURUSD,60,357.0
International Capital Markets Pty Ltd.,EURUSD,60,347.0
International Capital Markets Pty Ltd.,EURUSD,60,696.0
International Capital Markets Pty Ltd.,EURUSD,60,566.0
International Capital Markets Pty Ltd.,EURUSD,60,342.0
International Capital Markets Pty Ltd.,EURUSD,60,339.0
International Capital Markets Pty Ltd.,EURUSD,60,900.0
International Capital Markets Pty Ltd.,EURUSD,60,340.0
International Capital Markets Pty Ltd.,EURUSD,60,338.0
International Capital Markets Pty Ltd.,EURUSD,60,349.0
International Capital Markets Pty Ltd.,EURUSD,60,571.0
International Capital Markets Pty Ltd.,EURUSD,60,346.6
International Capital Markets Pty Ltd.,EURUSD,60,372.0
International Capital Markets Pty Ltd.,EURUSD,60,379.0
International Capital Markets Pty Ltd.,EURUSD,60,384.0
International Capital Markets Pty Ltd.,EURUSD,60,308.0
International Capital Markets Pty Ltd.,EURUSD,60,358.0
International Capital Markets Pty Ltd.,EURUSD,60,346.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,0.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,0.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,1.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,1.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,182.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,0.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,138.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,0.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,1.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,165.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,0.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,153.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,0.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,94.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,165.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,138.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,0.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,0.0
Dom Maklerski Banku Ochrony Srodowiska S.A.,EURUSD,60,0.0
OANDA DIVISION1,EURUSD,60,201.0
OANDA DIVISION1,EURUSD,60,183.0
OANDA DIVISION1,EURUSD,60,214.0
OANDA DIVISION1,EURUSD,60,179.0
OANDA DIVISION1,EURUSD,60,188.0
OANDA DIVISION1,EURUSD,60,196.0
OANDA DIVISION1,EURUSD,60,214.0
OANDA DIVISION1,EURUSD,60,197.0
OANDA DIVISION1,EURUSD,60,186.0
OANDA DIVISION1,EURUSD,60,203.0
OANDA DIVISION1,EURUSD,60,197.0
OANDA DIVISION1,EURUSD,60,194.0
OANDA DIVISION1,EURUSD,60,195.0
OANDA DIVISION1,EURUSD,60,202.0
OANDA DIVISION1,EURUSD,60,190.0
OANDA DIVISION1,EURUSD,60,201.0
OANDA DIVISION1,EURUSD,60,202.0
OANDA DIVISION1,EURUSD,60,198.0
OANDA DIVISION1,EURUSD,60,200.0
