<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	06:00:00	1.12132	1.12143	1.12118	1.12122	381	0	2
2020.01.02	06:30:00	1.12122	1.12122	1.12008	1.12011	523	0	1
2020.01.02	07:00:00	1.12011	1.12033	1.12008	1.12017	402	0	2
2020.01.02	07:30:00	1.12017	1.12043	1.12011	1.12043	281	0	2
2020.01.02	08:00:00	1.12043	1.12069	1.12042	1.12053	429	0	1
2020.01.02	08:30:00	1.12053	1.12075	1.12037	1.12066	372	0	2
2020.01.02	09:00:00	1.12074	1.12099	1.12055	1.12063	877	0	1
2020.01.02	09:30:00	1.12064	1.12102	1.12043	1.12098	844	0	1
2020.01.02	10:00:00	1.12098	1.12136	1.12052	1.12073	1022	0	2
2020.01.02	10:30:00	1.12073	1.12124	1.12060	1.12118	811	0	1
2020.01.02	11:00:00	1.12118	1.12140	1.12092	1.12099	745	0	1
2020.01.02	11:30:00	1.12099	1.12111	1.12011	1.12029	737	0	1
2020.01.02	12:00:00	1.12029	1.12037	1.11928	1.11931	766	0	2
2020.01.02	12:30:00	1.11931	1.11995	1.11928	1.11982	764	0	1
2020.01.02	13:00:00	1.11981	1.12021	1.11940	1.11947	1010	0	1
2020.01.02	13:30:00	1.11947	1.11954	1.11842	1.11847	875	0	1
2020.01.02	14:00:00	1.11847	1.11923	1.11830	1.11916	858	0	1
2020.01.02	14:30:00	1.11916	1.11942	1.11899	1.11929	853	0	1
2020.01.02	15:00:00	1.11929	1.11968	1.11909	1.11953	894	0	1
2020.01.02	15:30:00	1.11953	1.11969	1.11895	1.11962	1020	0	1
2020.01.02	16:00:00	1.11961	1.11964	1.11766	1.11776	1198	0	1
2020.01.02	16:30:00	1.11773	1.11800	1.11700	1.11739	1502	0	1
2020.01.02	17:00:00	1.11739	1.11780	1.11709	1.11739	1395	0	1
2020.01.02	17:30:00	1.11739	1.12023	1.11724	1.12004	2199	0	1
2020.01.02	18:00:00	1.12004	1.12030	1.11828	1.11843	1756	0	1
2020.01.02	18:30:00	1.11844	1.11863	1.11651	1.11662	1202	0	1
2020.01.02	19:00:00	1.11662	1.11711	1.11635	1.11704	995	0	1
2020.01.02	19:30:00	1.11704	1.11717	1.11645	1.11698	811	0	2
2020.01.02	20:00:00	1.11698	1.11712	1.11636	1.11674	858	0	1
2020.01.02	20:30:00	1.11674	1.11720	1.11664	1.11701	566	0	2
2020.01.02	21:00:00	1.11701	1.11702	1.11675	1.11682	709	0	2
2020.01.02	21:30:00	1.11682	1.11682	1.11643	1.11662	729	0	1
2020.01.02	22:00:00	1.11662	1.11716	1.11659	1.11710	637	0	1
2020.01.02	22:30:00	1.11710	1.11712	1.11667	1.11692	708	0	1
2020.01.02	23:00:00	1.11692	1.11733	1.11689	1.11733	289	0	2
2020.01.02	23:30:00	1.11732	1.11732	1.11710	1.11722	386	0	2
2020.01.03	00:00:00	1.11722	1.11726	1.11683	1.11708	172	0	2
2020.01.03	00:30:00	1.11708	1.11727	1.11704	1.11712	147	0	6
2020.01.03	01:00:00	1.11708	1.11734	1.11708	1.11728	195	0	2
2020.01.03	01:30:00	1.11728	1.11733	1.11702	1.11708	153	0	1
2020.01.03	02:00:00	1.11708	1.11738	1.11697	1.11725	320	0	1
2020.01.03	02:30:00	1.11725	1.11760	1.11723	1.11754	189	0	2
2020.01.03	03:00:00	1.11754	1.11784	1.11745	1.11760	281	0	2
2020.01.03	03:30:00	1.11760	1.11769	1.11723	1.11736	669	0	2
2020.01.03	04:00:00	1.11736	1.11770	1.11733	1.11763	723	0	1
2020.01.03	04:30:00	1.11763	1.11774	1.11718	1.11725	843	0	1
2020.01.03	05:00:00	1.11725	1.11732	1.11696	1.11717	660	0	2
2020.01.03	05:30:00	1.11717	1.11736	1.11711	1.11721	414	0	2
2020.01.03	06:00:00	1.11719	1.11748	1.11718	1.11736	401	0	2
2020.01.03	06:30:00	1.11736	1.11742	1.11685	1.11699	331	0	2
2020.01.03	07:00:00	1.11699	1.11704	1.11644	1.11664	588	0	2
2020.01.03	07:30:00	1.11664	1.11700	1.11656	1.11663	479	0	1
2020.01.03	08:00:00	1.11663	1.11682	1.11639	1.11674	595	0	1
2020.01.03	08:30:00	1.11674	1.11694	1.11672	1.11690	314	0	2
