language,text
deu,Ich muss schlafen gehen.
deu,Was ist das?
deu,Heute ist der 18. Juni und das ist der Geburtstag von Muiriel!
deu,"Herzlichen Glückwunsch zum Geburtstag, Muiriel!"
deu,Muiriel ist jetzt 20.
deu,"Das Passwort ist ""Muiriel""."
deu,Ich werde bald zurück sein.
deu,Ich finde keine Worte.
deu,Das wird nie enden.
deu,"Ich weiß einfach nicht, was ich sagen soll."
deu,Das war ein böses Kaninchen.
deu,Ich war in den Bergen.
deu,"Ich weiß nicht, ob ich Zeit dazu habe."
deu,Aus irgendeinem Grund hat das Mikrofon gerade nicht funktioniert.
deu,Letztendlich muss jeder selbst lernen.
deu,Die Ausbildung in dieser Welt enttäuscht mich.
deu,Zum Lernen sollte man nicht gezwungen werden. Zum Lernen sollte man ermutigt werden.
deu,"Es ist eine schwere Aufgabe, zwischen ""richtig"" und ""falsch"" zu unterscheiden, aber man muss es tun."
deu,Das wird nichts ändern.
deu,Das wird 30 € kosten.
deu,Ich verdiene 100 Euro pro Tag.
deu,"Es kann sein, dass ich bald aufgebe und stattdessen ein Nickerchen mache."
deu,"Das liegt daran, dass du nicht allein sein willst."
deu,Das wird nicht passieren.
deu,Manchmal kann er ein seltsamer Junge sein.
deu,"Ich werde mir Mühe geben, dich nicht beim Lernen zu stören."
deu,"Ich kann mich nur fragen, ob es für alle anderen dasselbe ist."
deu,"Ich vermute, das ist anders, wenn du darüber längerfristig nachdenkst."
deu,Mach dir keine Sorgen.
deu,Ich vermisse dich.
deu,"Ich werde sie morgen anrufen, wenn ich zurückkomme."
deu,Ich mochte mysteriöse Charaktere schon immer mehr.
deu,Du solltest schlafen.
deu,"Ich sagte ihnen, sie sollen mir ein neues Ticket schicken."
deu,Du bist so ungeduldig mit mir.
deu,Ich kann so ein Leben nicht leben.
deu,Ich wollte mal Astrophysiker werden.
deu,Ich mochte Biologie noch nie.
deu,"Die letzte Person, der ich meine Idee erzählt habe, dachte, ich wäre bekloppt."
deu,"Wenn die Welt nicht so wäre wie sie jetzt ist, könnte ich jedem vertrauen."
deu,Unglücklicherweise stimmt es.
deu,"Sie sind zu sehr damit beschäftigt, sich gegenseitig zu bekämpfen, als dass sie sich gemeinsamen Idealen widmen könnten."
deu,"Die meisten Leute denken, ich sei verrückt."
deu,"Nein, ich bin es nicht, du bist es!"
deu,Das war mein Satz!
deu,Er tritt mich!
deu,Bist du sicher?
deu,Dann haben wir ein Problem...
deu,"Oh, da ist ein Schmetterling!"
deu,Beeil dich!
deu,Es überrascht mich nicht.
deu,Wenn ich so sein könnte...
deu,Aus irgendeinem Grund fühle ich mich nachts lebendiger.
deu,Das kommt auf den Zusammenhang an.
deu,Willst du mich verdammt nochmal auf den Arm nehmen?!
deu,"Das ist das Dümmste, was ich je gesagt habe."
deu,"Ich will nicht erbärmlich sein, ich will cool sein!!"
deu,"Wenn ich groß bin, will ich ein König sein."
deu,"Es ist wundervoll in Amerika zu sein, wenn man hier ist, um Geld zu verdienen."
deu,Ich bin so dick.
deu,Na und?
deu,Ich werde ihn erschießen.
deu,"Ich bin kein echter Fisch, ich bin nur ein einfaches Plüschtier."
deu,Ich sag's ja nur!
deu,"Wahrscheinlich war es das, was ihre Entscheidung beeinflusst hat."
deu,"Ich habe mich immer gefragt, wie es wäre, Geschwister zu haben."
deu,Das hätte ich gesagt.
deu,"Es würde ewig dauern, alles zu erklären."
deu,"Es liegt daran, dass du ein Mädchen bist."
deu,"Manchmal kann ich es nicht vermeiden, Gefühle zu zeigen."
deu,"Es ist ein Wort, für das ich gerne einen Ersatz finden würde."
deu,"Das wäre etwas, das ich programmieren sollte."
deu,"Ich beabsichtige nicht, selbstsüchtig zu sein."
deu,"Lass uns über das Schlimmste, das passieren könnte, nachdenken."
deu,Wie viele enge Freunde hast du?
deu,"Ich bin vielleicht asozial, aber das heißt nicht, dass ich nicht mit Leuten rede."
deu,Das ist immer so gewesen.
deu,"Ich denke, es ist am besten, nicht unhöflich zu sein."
deu,Man kann immer Zeit finden.
deu,"Ich wäre unglücklich, aber ich würde keinen Selbstmord begehen."
deu,Damals im Gymnasium bin ich jeden Morgen um 6 Uhr aufgestanden.
deu,"Als ich aufgewacht bin, war ich traurig."
deu,Das ist am Ende einigermaßen erklärt.
deu,"Ich dachte, du würdest gerne neue Sachen lernen."
deu,Die meisten Menschen schreiben über ihr Alltagsleben.
deu,"Wenn ich dir ein Marshmallow schicken könnte, Trang, würde ich es tun."
deu,"Um das zu tun, musst du Risiken eingehen."
deu,"Jeder Mensch, der allein ist, ist allein, weil er Angst vor den anderen hat."
deu,Warum fragst du?
deu,Ich bin kein Künstler. Ich hatte niemals das Zeug dazu.
deu,Ich kann es ihr jetzt nicht sagen. Das ist nicht mehr so einfach.
deu,"Ich bin ein Mensch, der viele Fehler hat, aber diese Fehler können leicht korrigiert werden."
deu,"Immer, wenn ich etwas finde, das mir gefällt, ist es zu teuer."
deu,Wie lange bist du geblieben?
deu,Vielleicht wird es für ihn genauso sein.
deu,Unschuld ist eine schöne Sache.
deu,"Die Menschen waren nie dazu gedacht, ewig zu leben."
deu,"Ich will meine Ideen nicht verlieren, selbst wenn einige von ihnen ein bisschen extrem sind."
deu,"Ich denke, ich habe dazu eine Theorie."
deu,Das macht neugierig.
deu,"Meinst du gerade, dass du absichtlich deine Schönheit versteckst?"
deu,Ich habe kein Konto in diesen Foren.
deu,"Wenn jemand fragen sollte, was die Pointe der Geschichte sei, ich wüsste es wirklich nicht."
deu,"Ich wusste nicht, woher es kam."
deu,"Ich denke, dass mein Zusammenleben mit dir deine Lebensweise beeinflusst hat."
deu,Dies ist nicht wichtig.
deu,Ich möchte es nicht.
deu,"Sie fragt, wie das möglich ist."
deu,Du läufst einfach vor den Problemen des Lebens davon.
deu,"Wenn du den Liedtext anschaust, bedeutet er nicht wirklich viel."
deu,"Es gibt da ein Problem, das du nicht siehst."
deu,Du kannst das machen!
deu,"Meinem Physiklehrer ist es egal, wenn ich den Unterricht schwänze."
deu,"Ich wünschte, ich könnte nach Japan gehen."
deu,"Ich hasse es, wenn viele Leute da sind."
deu,Ich muss ins Bett gehen.
deu,"Danach gehe ich, aber dann merke ich, dass ich meinen Rucksack vergessen habe."
deu,Ich werde dich heute nichts mehr fragen.
deu,Nächste Woche wird es vielleicht Frost geben.
deu,"Obwohl er sich entschuldigt hat, bin ich immer noch wütend."
deu,"Die Polizei wird euch dazu bringen, die Kugeln zu finden."
deu,"Danke, dass Sie mir letzten Endes erklärt haben, warum die Leute mich für einen Idioten halten."
deu,Das war nicht meine Absicht.
deu,Danke für Ihre Erklärung.
deu,Theoretisch mache ich gerade Mathe.
deu,Was passierte?
deu,"Wenn du mich nicht so gekannt hast, dann hast du mich einfach gar nicht gekannt."
deu,"Es hat mir fast Angst gemacht, dich einen ganzen Tag nicht online zu sehen."
deu,"Ich weiß nicht, was du meinst."
deu,Mein Computer muss mir zu etwas nützen.
deu,Du wolltest mit mir über Freiheit sprechen?
deu,"Oh, jetzt ist es wirklich verwirrend..."
deu,"Wenn ich dich erschrecken wollte, würde ich dir erzählen, was ich vor ein paar Wochen geträumt habe."
deu,Man kann nicht alles von den Schulen erwarten.
deu,"Es gibt viele Wörter, die ich nicht verstehe."
deu,"Ich mag es nicht, wenn Mathematiker, die viel mehr als ich wissen, sich nicht genau ausdrücken können."
deu,Du bist nicht wirklich dumm.
deu,Ich muss dir eine dumme Frage stellen.
deu,"Ich weiß nicht, wie ich es beweisen soll, so selbstverständlich wie es ist!"
deu,"Ich hätte nicht gedacht, dass ich eines Tages bei Wikipedia ""Viagra"" nachschauen würde."
deu,Kann man das anders ausdrücken?
deu,Niemand wird's erfahren.
deu,"Ich habe eine Lösung gefunden, aber ich habe sie so schnell gefunden, dass es nicht die richtige Lösung sein kann."
deu,Das scheint mir interessant!
deu,"Nur, dass es hier nicht so einfach ist."
deu,Ich mag gerne Kerzenlicht.
deu,Was hast du geantwortet?
deu,"Nein, er ist nicht mein neuer Freund."
deu,"Es ist schade, dass ich nicht abnehmen muss."
deu,Hast du nie Unterricht oder was?!
deu,"Ich werde also Sudoku spielen, anstatt dich weiter zu stören."
deu,Wo ist das Problem?
deu,"Das ist keine große Überraschung, oder?"
deu,Ich mag dich nicht mehr.
deu,Ich bin neugierig.
deu,Herzlichen Glückwunsch.
deu,Ich will nicht so lange warten.
deu,Warum kommst du uns nicht besuchen?
deu,Aber die Möglichkeit scheint unwahrscheinlich.
deu,"Es war eine schlechte Idee, sich abzumelden."
deu,"Ich weiß nicht mehr, was ich tun soll."
deu,"Es ist unvermeidbar, dass ich eines Tages nach Frankreich gehe, ich weiß nur nicht, wann."
deu,Ich hasse Chemie.
deu,"Ich wollte nicht, dass das passiert."
deu,"Du kannst vermutlich erahnen, was indessen passiert."
deu,"Bevor du dich versiehst, wirst du in der Zeitung sein."
deu,Was für andere Optionen habe ich?
deu,Ich habe nicht viel von einem Reisenden.
deu,Ich habe nichts Besseres zu tun.
deu,Ich kann es auch nicht erklären.
deu,"Aber im Ernst, die Episode 21 hat mich fast vor Lachen weinen lassen."
deu,"Es zeigt nur, dass du kein Roboter bist."
deu,Wie könnte ich ein Roboter sein? Roboter träumen nicht.
deu,"Daran habe ich nie gedacht, sagte der alte Mann. ""Was sollen wir tun?"""
deu,"Das ist nichts, was jeder Beliebige tun kann."
deu,"Ich weiß nicht, ob ich es noch habe."
deu,"Was denkst du, was ich gerade gemacht habe?"
deu,Unterschätze nicht meine Macht!
deu,Meine Mutter spricht nicht sehr gut Englisch.
deu,Ich spreche nicht gut genug Französisch!
deu,"Ich fragte mich, ob du heute kommen würdest."
deu,Dort liegt das Problem.
deu,Wie findest du Nahrung im Weltraum?
deu,"Ihr müsst nichts tun, außer euch zu vertrauen."
deu,Alle wollen dich kennenlernen. Du bist berühmt!
deu,"Wieso tut dir etwas leid, das du nicht gemacht hast?"
deu,Ich verabscheue förmliches Schreiben zutiefst!
deu,Ausländer machen mich neugierig.
deu,"Was auch immer ich tue, sie sagt, ich kann es besser."
deu,Warum bist du um diese Uhrzeit noch wach?
deu,"Du wärst überrascht, was man in einer Woche lernen kann."
deu,"Ich habe niemanden, der mit mir reisen würde."
deu,Du bist nicht schnell genug.
deu,"Das Leben ist hart, aber ich bin härter."
deu,Ertragen kann unerträglich sein.
deu,Hör auf! Sie fühlt sich dadurch unbehaglich!
deu,Nur die Wahrheit ist schön.
deu,Morgen wird er auf dem Mond landen.
deu,Ich spreche kein Japanisch.
deu,Das ist ein Wortspiel.
deu,Niemand versteht mich.
deu,"Ich habe gelernt, ohne sie zu leben."
deu,"Das bringt nichts mehr, weiter nachzudenken."
deu,Mir gehen in diesen Tagen zu viele Dinge durch den Kopf.
deu,Ich wollte gerade meine E-Mails abrufen.
deu,"Musst du wirklich die Frage stellen, um die Antwort zu erfahren?"
deu,"Du kannst nicht von mir erwarten, dass ich immer an alles denke!"
deu,"Ich vermute, dass es hinter jeder Sache, die wir tun müssen, etwas gibt, das wir tun wollen..."
deu,Du hast wirklich nicht die richtigen Prioritäten!
deu,"Man darf nicht darauf warten, dass die anderen für einen denken!"
deu,Du hast nie Zeit für die wichtigen Dinge!
deu,"Es ist die Mühe nicht wert, so zu tun, als würdest du mich dazu bringen zu glauben, dass ich Dinge glaube, die du nicht glaubst."
deu,"Das würde zu lange dauern, dir zu erklären, warum das nicht funktionieren wird."
deu,"Ich bin so blöd... ich versuche, dir Dinge zu erklären, die ich selbst nicht verstehe."
deu,"Hör auf, mich als einen ""normalen"" Menschen anzusehen!"
deu,"Du könntest zumindest versuchen, ein bisschen höflicher zu sein, auch wenn das nicht in deiner Natur liegt."
deu,"Es gibt immer Dinge, die ich nie lernen werde, ich habe nicht ewig Zeit."
deu,Das ist nicht möglich!
deu,"Ich wünschte, ich könnte mir mehr aus Noten machen, aber scheinbar habe ich an einem gewissen Punkt in meinem Leben entschieden, dass es nicht mehr so wichtig sei."
deu,"„Wer rastet, der rostet“ ist ein Sprichwort."
deu,Willst du etwas zum Trinken?
deu,"Wer ist es? ""Es ist deine Mutter."""
deu,„Wann wirst du zurückkommen?“ – „Das hängt ganz vom Wetter ab.“
deu,„Was ist los?“ fragte das kleine weiße Kaninchen.
deu,„Was passiert in der Höhle? Ich bin neugierig.“ – „Ich habe keine Ahnung.“
deu,"Was ist dein Wunsch?, fragte das kleine weiße Kaninchen."
deu,"Wir müssen lernen, als Brüder zusammen zu leben, oder wir werden als Narren zusammen untergehen."
deu,"Öh, wie funktioniert das?"
deu,"Um die Wahrheit zu sagen, ich habe Höhenangst. ""Du bist ein Angsthase!"""
deu,"Vertraue mir, sagte er."
deu,"„Danach habe ich gesucht“, erklärte er."
deu,"„Das sieht ziemlich interessant aus“, sagt Hiroshi."
deu,Ihre Kommunikation ist vielleicht viel komplexer als wir dachten.
deu,"Das Telefon klingelt. ""Ich geh' dran."""
deu,"Das ist sehr nett von Ihnen, antwortete Willie."
deu,„Danke für die Hilfe.“ – „Keine Ursache.“
deu,Irgendwann werde ich wie der Wind rennen.
deu,"Sie mag Musik. ""Ich auch."""
deu,"Lass es mich wissen, wenn es irgendetwas gibt, was ich tun kann."
deu,"Möglicherweise ist das Glück, das uns dort erwartet, überhaupt nicht die Art Glück, die wir uns wünschen würden."
deu,"Du entscheidest, ob wir dahin gehen oder nicht."
deu,Das fängt nicht vor acht Uhr dreißig an.
deu,"Ich wünsche mir ein Boot, das mich weit weg von hier bringt."
deu,"„Ich habe Lust, Karten zu spielen.“ – „Ich auch.“"
deu,"Sind wir uns nicht schon einmal begegnet?, fragte der Student."
deu,Ein Japaner würde so etwas nie tun.
deu,Der Bogenschütze tötete den Hirsch.
deu,"Der Kommunismus wird nie erreicht werden, solange ich lebe."
deu,Der Roggen wurde Arme-Leute-Getreide genannt.
deu,"In den 1950ern sagte man den Finnen nach, eine der ungesündesten Ernährungsweisen der Welt zu haben."
deu,"Wenn du einen Fehler siehst, dann korrigiere ihn bitte."
deu,Lege das Kartenspiel auf den Eichentisch.
deu,Die Deutschen sind sehr listig.
deu,"Wenn man nicht isst, stirbt man."
deu,"Wie schreibt man ""pretty""?"
deu,Wieso gehen wir nicht heim?
deu,"Es tut mir leid, ich kann nicht lange bleiben."
deu,10 Jahre sind eine lange Zeit zum Warten.
deu,„Wieso gehst du nicht?“ – „Weil ich nicht will.“
deu,Eine Million Menschen haben im Krieg ihr Leben verloren.
deu,Ich kam vor drei Jahren nach Tokyo und seither habe ich hier gelebt.
deu,Ich habe mehr als einen Monat lang in Nagoya gelebt.
deu,"Es ist überhaupt nicht selten, länger als neunzig Jahre zu leben."
deu,Zuerst werde ich ein Schema meiner neuen Website machen.
deu,"Demokratie ist die schlechteste Regierungsform, abgesehen von allen anderen, die ausprobiert wurden."
deu,"Wenn man beginnt, seinem Passfoto ähnlich zu sehen, sollte man in den Urlaub fahren."
deu,"Ich war's nicht, Kommissar!"
deu,"Oh, meine weiße Hose! Sie war neu."
deu,Bei so vielen Leuten wurde er natürlich etwas nervös.
deu,Beim Verlassen des Bahnhofs sah ich einen Mann.
deu,Und niemand hat Ihnen geholfen?
deu,Du bist ein Engel!
deu,Die Madrilenen sind verrückt.
deu,"Nun gut, die Nacht ist sehr lang, oder?"
deu,"Du hast Glück gehabt, dass er dich nicht gebissen hat."
deu,Hast du mich vermisst?
deu,Sind sie alle gleich?
deu,Vielen Dank!
deu,Wo sind bitte die Eier?
deu,Ich nehme ihn.
deu,Das ist eine Überraschung.
deu,Das ist eine gute Idee!
deu,Hin- und Rückfahrt? Nur Hinfahrt.
deu,"Es ist schade, wenn jemand stirbt."
deu,Der Mund blieb ihnen offen stehen.
deu,Donnerwetter! Das ist nicht schlecht!
deu,Nach der Wäsche in Form bringen.
deu,Vor dem Tragen waschen.
deu,"Nicht öffnen, bevor der Zug hält."
deu,"Wer im Glashaus sitzt, sollte nicht mit Steinen werfen."
